Category,Question,1,2,3,4,Answer,Explanation,Trial,Subcategory,Image,ID
Behavioral Science,The catecholamines are synthesized where?,Adrenal medulla,Adrenal cortex,Hypothalamus,Testes,1,The adrenal medulla is responsible for releasing the catecholamines (norepinephrine and epinephrine) during stress responses. This is only activated when the sympathetic nervous system activates it and is used for short-term stress responses.,No,Neuroscience,P283,A31
Behavioral Science,Expressing love for someone you despise is what type of defense mechanism?,Projection,Displacement,Reaction formation,Rationalization,3,"There are many types of defense mechanisms utilized by the mind. Denial is refusing to believe something occurred, projection is attributing negative thoughts onto a different object., rationalization is utilizing a justification for thoughts/behaviors, regression is digressing to a previous life stage, repression is blocking out negative thoughts, reaction formation is the opposite defense mechanism, displacement is taking negative thoughts out on a different target, and sublimation is taking negative thoughts and channeling them into productive behaviors.",No,Personality and Emotion,P246,A32
Behavioral Science,Inconsistency in thoughts and behaviors is called what?,Dissonance,Projection,Reaction formation,Rationalization,1,"There are many types of defense mechanisms utilized by the mind. Denial is refusing to believe something occurred, projection is attributing negative thoughts onto a different object., rationalization is utilizing a justification for thoughts/behaviors, regression is digressing to a previous life stage, repression is blocking out negative thoughts, reaction formation is the opposite defense mechanism, displacement is taking negative thoughts out on a different target, and sublimation is taking negative thoughts and channeling them into productive behaviors.",No,Personality and Emotion,P246,A33
Behavioral Science,"If you are awake, what type of sleep waves do you have?",Alpha,Theta,Beta,Delta,1,"When you are awake, you are likely to experience beta waves when concentrating or alpha waves when you are drowsy.",No,Neuroscience,P236,A34
Behavioral Science,"In Stage 1 of sleep, what kind of sleep waves do you have?",Alpha,Theta,Beta,Delta,2,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,P236,A35
Behavioral Science,"In Stage 3 of sleep, what kind of brain waves do we have?",Alpha,Theta,Beta,Delta,4,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,P236,A36
Behavioral Science,"In Stage 4 of sleep, what kind of brain waves do we have?",Alpha,Theta,Beta,Delta,4,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,P236,A37
Behavioral Science,"In REM, what kind of brain waves do we have?",Alpha,Theta,Beta,Delta,3,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,P236,A38
Behavioral Science,Which of these is not part of the stages for the general adaptation theory?,Alarm,Appraisal,Resistance,Exhaustion,2,"Appraisal is not part of th general adaptation model of stress. The stages are alarm (decreased stress response), resistance (increased stress response), and then exhaustion which decreases the stress response.",No,Personality and Emotion,P239,A39
Behavioral Science,Who developed the theory of functionalism?,Marx,James,Durkheim,Bandura,3,"Durkheim is the founder of functionalism, Karl Marx is attributed to being the founder of conflict theory, Cooley and George Herbert Mead are attributed to being the founders of symbolic interactionism. The founders of social constructionism, rational choice theory, and feminist theory are not considered important for exam.",No,Sociology,P135,A40
Behavioral Science,Who developed conflict theory?,Marx,James,Durkheim,Bandura,1,"Durkheim is the founder of functionalism, Karl Marx is attributed to being the founder of conflict theory, Cooley and George Herbert Mead are attributed to being the founders of symbolic interactionism. The founders of social constructionism, rational choice theory, and feminist theory are not considered important for exam.",No,Sociology,P135,A41
Behavioral Science,Social constructionism is what kind of theory?,Macro,Micro,Both A and B,None of the above,3,Social constructionism is one of the few sociological theories that involves aspects of both macro and micro sociology. Another one that falls into this category is feminist theory.,No,Sociology,P135,A42
Behavioral Science,Who developed the theory of symbolic interactionism?,Marx,Cooley,Durkheim,Bandura,2,"Durkheim is the founder of functionalism, Karl Marx is attributed to being the founder of conflict theory, Cooley and George Herbert Mead are attributed to being the founders of symbolic interactionism. The founders of social constructionism, rational choice theory, and feminist theory are not considered important for exam.",No,Sociology,P135,A43
Behavioral Science,Feminist theory is what kind of theory?,Macro,Micro,Both A and B,None of the above,3,Social constructionism is one of the few sociological theories that involves aspects of both macro and micro sociology. Another one that falls into this category is feminist theory.,No,Sociology,P135,A44
Behavioral Science,The id is based on what principle?,Pleasure principle,Perfection principle,Reality principle,None of the above,1,"The pleasure principle is attempting to get the things that bring us happiness the quickest and this is based on the id. The ego controls the reality principle, which is used to moderate the id and supergo. The  is based on the perfection principle, which is used to try and become our ideal selfs.",No,Personality and Emotion,P284,A45
Behavioral Science,The ego is based on what principle?,Pleasure principle,Perfection principle,Reality principle,None of the above,3,"The pleasure principle is attempting to get the things that bring us happiness the quickest and this is based on the id. The ego controls the reality principle, which is used to moderate the id and supergo. The  is based on the perfection principle, which is used to try and become our ideal selfs.",No,Personality and Emotion,P284,A46
Behavioral Science,The  is based on what principle?,Pleasure principle,Perfection principle,Reality principle,None of the above,2,"The pleasure principle is attempting to get the things that bring us happiness the quickest and this is based on the id. The ego controls the reality principle, which is used to moderate the id and supergo. The  is based on the perfection principle, which is used to try and become our ideal selfs.",No,Personality and Emotion,P284,A47
Behavioral Science,"If there is an active drug in the brain, what is likely to happen?",Delta waves,Glucose metabolism increases,Decreased blood flow,All of the above,2,"Glucose metabolism can often be utilized as a way to measure the activity of a particular location, as this means that glycolysis is upregulated. PET scans are used to help locate these areas of high activity.",No,Neuroscience,,A48
Behavioral Science,Cultural capital includes what factors?,Knowledge,Skills,Education,All of the above,4,"Cultural capital refers to a person's social assets which may allow them to gain mobility and status in society. It includes knowledge, skills, and education",No,Sociology,,A49
Behavioral Science,Which of the following is not part of cultural capital?,Knowledge,Money,Education,Skills,2,"Cultural capital refers to a person's social assets which may allow them to gain mobility and status in society. It includes knowledge, skills, and education",No,Sociology,,A50
Behavioral Science,If a growth pyramid is inverted then what is happening?,Overall increase in size of population,Overall decrease in size of population,Stagnant population,None of the above,2,"The inverted pyramid means the population is more skewed toward the older generation. Because of this, less children are being born. An overall decrease in the population will be seen (ex: baby boomer generation in America).",No,Sociology,P138,A51
Behavioral Science,An fMRI measures what?,Glucose metabolism,Electrical signals,Blood flow ,Structure,3,fMRI stands for functional magnetic resonance imaging and detects changes in levels of  blood flow and oxygen,No,Neuroscience,,A52
Behavioral Science,Stage 2 of sleep has what component?,Sleep spindles,Delta waves,Alpha waves,None of the above,1,Stage 2 of sleep is known for having both sleep spindles and K complexes seen on an EEG.,No,Neuroscience,P236,A53
Behavioral Science,Stage 2 of sleep has what component?,K Complex,Delta waves,Alpha waves,None of the above,1,Stage 2 of sleep is known for having both sleep spindles and K complexes seen on an EEG.,No,Neuroscience,P236,A54
Behavioral Science,Neuroleptics are used to treat what?,Negative symptoms of schizophrenia,Mood disorders,Positive symptoms of schizophrenia,All of the above,3,"Neuroleptics, also known as anti-psychotics are used to treat the positive symptoms of schizophrenia such as hallucinations and delusions",No,Neuroscience,,A55
Behavioral Science,Hair cells are what type of receptors?,Mechanorecepetors,Thermoreceptors,Proprioreceptors,Kinetic receptors,1,,No,Sensation/Perception,P286,A56
Behavioral Science,Procedural memory is what type of memory?,Explicit,Declarative,Implicit,Recurring,3,Implict memory is considered unconscious. Procedural memory falls under this category (think muscle memory like riding a bike) and emotional fall under this. Episodic memory covers events while semantic memory will cover declarative facts.,No,Memory and Cognition,P234,A57
Behavioral Science,The basal ganglia is responsible for what?,Posture,Pleasure,Speed production,Speech comphrension,1,The basal ganglia is part of the limbic system and is required for correct posture. The septal nucleic is also part of the limbic system and it is involved with the pleasure pathway.,No,Neuroscience,,A58
Behavioral Science,The septal nucleic is responsible for what?,Posture,Pleasure,Speech production,Speech comphrension,2,The basal ganglia is part of the limbic system and is required for correct posture. The septal nucleic is also part of the limbic system and it is involved with the pleasure pathway.,No,Neuroscience,,A59
Behavioral Science,Broca's area is responsible for what?,Posture,Pleasure,Speech production,Speech comphrension,3,"Broca's area is located in the frontal lobe and for the majority of people, in the left hemisphere. It is primarily responsible for speech production",No,Neuroscience,,A60
Behavioral Science,Wernicke's area is responsible for what?,Posture,Pleasure,Speech production,Speech comphrension,4,Wernicke's area is located in the temporal lobe and is in the left hemisphere. It plays a major role in the comprehesion of language (speech or written),No,Neuroscience,,A61
Behavioral Science,What does the cornea do?,Filters and gathers incoming light,Constricts size of pupil,Lubricates the eyes,None of the above,1,,No,Sensation/Perception,P287,A62
Behavioral Science,What does the iris do?,Filters and gathers incoming light,Constricts size of pupil,Lubricates the eyes,None of the above,2,,No,Sensation/Perception,P44,A63
Behavioral Science,What is responsible for localizing sound?,Superior olive,Inferior olive,Superior Colliculus,Inferior colliculus,4,Localizing sound is done by the inferior colliculus while the superior colliculus is responsible for the startle reflex,No,Sensation/Perception,,A64
Behavioral Science,What is responsible for the startle reflex?,Superior olive,Inferior olive,Superior Colliculus,Inferior colliculus,3,Localizing sound is done by the inferior colliculus while the superior colliculus is responsible for the startle reflex,No,Sensation/Perception,,A65
Behavioral Science,Slow-wave sleep occurs in what stage?,Stage 1,Stage 2,Stage 3/4,REM,3,"Slow-wave-sleep (SWS) occurs during stages 3 and 4 of sleep. This is due to the delta waves present and is why stage 3/4 is considered ""deep sleep"".",No,Neuroscience,P236,A66
Behavioral Science,In which stage of sleep is growth hormone released?,Stage 1,Stage 2,Stage 3/4,REM,3,"Slow-wave-sleep (SWS) occurs during stages 3 and 4 of sleep. This is due to the delta waves present and is why stage 3/4 is considered ""deep sleep"". Growth hormone is also released during this phase.",No,Neuroscience,P236,A67
Behavioral Science,Which of the following is based on cognition?,Stereotypes,Prejudice,Discrimination,All of the above,1,"There are three aspects that make up beliefs: affect, behavior, and cognition. Stereotypes would be considered cognitive, as that's the way that we interpret other people. Discrimination is an example of behavior, because we are acting on our prejudice. Prejudice is how we feel toward a certain group but without necessarily acting on it.",No,Personality and Emotion,,A68
Behavioral Science,Which of the following is based on behavior?,Stereotypes,Prejudice,Discrimination,All of the above,3,"There are three aspects that make up beliefs: affect, behavior, and cognition. Stereotypes would be considered cognitive, as that's the way that we interpret other people. Discrimination is an example of behavior, because we are acting on our prejudice. Prejudice is how we feel toward a certain group but without necessarily acting on it.",Yes,Personality and Emotion,,A69
Behavioral Science,Which of the following is based on affect?,Stereotypes,Prejudice,Discrimination,All of the above,2,"There are three aspects that make up beliefs: affect, behavior, and cognition. Stereotypes would be considered cognitive, as that's the way that we interpret other people. Discrimination is an example of behavior, because we are acting on our prejudice. Prejudice is how we feel toward a certain group but without necessarily acting on it.",No,Personality and Emotion,,A70
Behavioral Science,Which of the following is the least deviant to break?,Folkway,Mores,Taboo,All of the above,1,"The most deviant one to break of these is a taboo (incest), the next most would be a more (using drugs), and folkways are the least deviant to break (not holding the door open for someone).",No,Sociology,,A71
Behavioral Science,Which of the following is the most deviant to break?,Folkway,Mores,Taboo,All of the above,3,"The most deviant one to break of these is a taboo (incest), the next most would be a more (using drugs), and folkways are the least deviant to break (not holding the door open for someone).",No,Sociology,,A72
Behavioral Science,"Which of the following is considered of ""medium"" deviance, on a social level to break?",Folkway,Mores,Taboo,All of the above,2,"The most deviant one to break of these is a taboo (incest), the next most would be a more (using drugs), and folkways are the least deviant to break (not holding the door open for someone).",No,Sociology,,A73
Behavioral Science,Which of the following is the most intimate group?,Dyad,Triad,Tetrad,All of the above,1,"Dyads are considered to be the most intimate because the existence of the group relies on both individuals. If one person leaves the group, the group no longer exists. A triad is the most stable because, even if one person leaves, there are still two members. Tetrads and above are considered unstable because they fall victim to groupthink or group polarization.",No,Sociology,,A74
Behavioral Science,Which of the following is the most stable?,Dyad,Triad,Tetrad,All of the above,2,"Dyads are considered to be the most intimate because the existence of the group relies on both individuals. If one person leaves the group, the group no longer exists. A triad is the most stable because, even if one person leaves, there are still two members. Tetrads and above are considered unstable because they fall victim to groupthink or group polarization.",No,Sociology,,A75
Behavioral Science,Which of the following is the least stable?,Dyad,Triad,Tetrad,All of the above,3,"Dyads are considered to be the most intimate because the existence of the group relies on both individuals. If one person leaves the group, the group no longer exists. A triad is the most stable because, even if one person leaves, there are still two members. Tetrads and above are considered unstable because they fall victim to groupthink or group polarization.",No,Sociology,,A76
Behavioral Science,Which of the following measures voltage fluctuations?,EEG,CT,fMRI,PET,1,"EEG stands for electroencephalogram and measures electrical activity in the brain (i.e., voltage fluctuations)",No,Neuroscience,,A77
Behavioral Science,Which of the following shows a detailed structure at one time?,EEG,CT,fMRI,PET,2,CT stands for computerized tomography and uses numeorus X-rays and technology to provide more detailed images of the internal anatomy,No,Neuroscience,,A78
Behavioral Science,Which of the following shows blood oxygenation?,EEG,CT,fMRI,PET,3,fMRI stands for functional magnetic resonance imaging and detects changes in levels of  blood flow and oxygen,No,Neuroscience,,A79
Behavioral Science,Which of the following shows glucose metabolism?,EEG,CT,fMRI,PET,4,"PET stands for positron emission tomography and uses tracers to measure metabolic changes (e.g., glucose metabolism)",No,Neuroscience,,A80
Behavioral Science,Which of the following is economic capital?,Financial,Friends/Family,Education,All of the above,1,Financial capital refers to a person's monetary resources which may allow them to gain mobility and status in society. ,No,Sociology,,A81
Behavioral Science,Which of the following is social capital?,Financial,Friends/Family,Education,All of the above,2,Social capital refers to a person's relational network which may allow them to gain mobility and status in society. Family and friends are included here. ,No,Sociology,,A82
Behavioral Science,Which of the following is cultural capital?,Financial,Friends/Family,Education,All of the above,3,"Cultural capital refers to a person's social assets which may allow them to gain mobility and status in society. It includes knowledge, skills, and education",No,Sociology,,A83
Behavioral Science,Which of the following is NOT part of attitude?,Affect,Performance,Cognition,Behavior,2,"There are three aspects that make up beliefs: affect, behavior, and cognition. Stereotypes would be considered cognitive, as that's the way that we interpret other people. Discrimination is an example of behavior, because we are acting on our prejudice. Prejudice is how we feel toward a certain group but without necessarily acting on it.",No,Personality and Emotion,,A84
Behavioral Science,Which of the following is based on feeling?,Affect,Performance,Cognition,Behavior,1,"There are three aspects that make up beliefs: affect, behavior, and cognition. Stereotypes would be considered cognitive, as that's the way that we interpret other people. Discrimination is an example of behavior, because we are acting on our prejudice. Prejudice is how we feel toward a certain group but without necessarily acting on it.",No,Personality and Emotion,,A85
Behavioral Science,Which of the following is based on beliefs?,Affect,Performance,Cognition,Behavior,3,"There are three aspects that make up beliefs: affect, behavior, and cognition. Stereotypes would be considered cognitive, as that's the way that we interpret other people. Discrimination is an example of behavior, because we are acting on our prejudice. Prejudice is how we feel toward a certain group but without necessarily acting on it.",No,Personality and Emotion,,A86
Behavioral Science,Which of the following is based on actions?,Affect,Performance,Cognition,Behavior,4,"There are three aspects that make up beliefs: affect, behavior, and cognition. Stereotypes would be considered cognitive, as that's the way that we interpret other people. Discrimination is an example of behavior, because we are acting on our prejudice. Prejudice is how we feel toward a certain group but without necessarily acting on it.",No,Personality and Emotion,,A87
Behavioral Science,A traffic jam is what kind of stressor?,Daily hassle,Personal life event,Ambient,Catastrophe,1,"Daily hassle stressors are considered things like traffic jams or a small dispute at work. Ambient stressors are things that linger in the areas that you live or work in. These can be things like smog from an industrial plant, other pollution, and aesthetic of the area you live in. A personal life event stressor would be something like a breakup, divorce, or a death in the family. Finally, a catastrophic stressor would be a natural disaster like a hurricane or forest fires.",No,Personality and Emotion,,A88
Behavioral Science,A divorce is what kind of stressor?,Daily hassle,Personal life event,Ambient,Catastrophe,2,"Daily hassle stressors are considered things like traffic jams or a small dispute at work. Ambient stressors are things that linger in the areas that you live or work in. These can be things like smog from an industrial plant, other pollution, and aesthetic of the area you live in. A personal life event stressor would be something like a breakup, divorce, or a death in the family. Finally, a catastrophic stressor would be a natural disaster like a hurricane or forest fires.",No,Personality and Emotion,,A89
Behavioral Science,Polution is what kind of stressor?,Daily hassle,Personal life event,Ambient,Catastrophe,3,"Daily hassle stressors are considered things like traffic jams or a small dispute at work. Ambient stressors are things that linger in the areas that you live or work in. These can be things like smog from an industrial plant, other pollution, and aesthetic of the area you live in. A personal life event stressor would be something like a breakup, divorce, or a death in the family. Finally, a catastrophic stressor would be a natural disaster like a hurricane or forest fires.",No,Personality and Emotion,,A90
Behavioral Science,A natural disaster is what kind of stressor?,Daily hassle,Personal life event,Ambient,Catastrophe,4,"Daily hassle stressors are considered things like traffic jams or a small dispute at work. Ambient stressors are things that linger in the areas that you live or work in. These can be things like smog from an industrial plant, other pollution, and aesthetic of the area you live in. A personal life event stressor would be something like a breakup, divorce, or a death in the family. Finally, a catastrophic stressor would be a natural disaster like a hurricane or forest fires.",No,Personality and Emotion,,A91
Behavioral Science,Physiological and safety needs are what?,Basic needs,Psychological needs,Self-fulfillment,None of the above,1,"According to Abraham Mazlow's hierarchy of needs, physiological and safety needs are seated at the bottom of the pyramid. Before meeting the higher-level needs, these needs must be met first. ",No,Personality and Emotion,P57,A92
Behavioral Science,Love and self-esteem needs are what?,Basic needs,Psychological needs,Self-fulfillment,None of the above,2,"According to Abraham Mazlow's hierarchy of needs, love and self-esteem are seated above basic needs (food and water). This communicates that those lower-level needs need to be realized before the higher-level needs.",Yes,Personality and Emotion,P57,A93
Behavioral Science,Self-actualization is what type of need?,Basic needs,Psychological needs,Self-fulfillment,None of the above,3,"According to Abraham Mazlow's hierarchy of needs, self-actualization is seated at the top of the pyramid, above basic needs (food and water). This communicates that those lower-level needs need to be realized before the higher-level needs.",No,Personality and Emotion,P57,A94
Behavioral Science,The parvo pathway detects what?,Color,Form,Motion,Both A and B,4,"The magnocellular pathway in the eyes is responsible for processing the motion component of vision, while the parvocellular pathway is responsible for the shape part of vision.",No,Sensation/Perception,,A95
Behavioral Science,The magno pathway detects what?,Motion,Depth,Color,Both A and B,4,"The magnocellular pathway in the eyes is responsible for processing the motion component of vision, while the parvocellular pathway is responsible for the shape part of vision.",No,Sensation/Perception,,A96
Behavioral Science,Which of the following is the blind spot?,Optic disk,Optic nerve,Optic chiasm,Fovea centralis,1,,No,Neuroscience,,A97
Behavioral Science,Wernicke's area is located where?,Right temporal lobe,Left temporal lobe,Frontal lobe,Parietal lobe,2,Wernicke's area is located in the left temporal lobe. Broca's area is located in the left frontal lobe.,No,Neuroscience,,A98
Behavioral Science,The pleasure pathway includes what?,Ventral tegmental area,Nucleus acumbens,Prefrontal cortex,All of the above,4,,No,Neuroscience,P39,A99
Behavioral Science,Which of the following stages involves imitation?,Prepartory phase,Play stage,Game stage,Socal stage,1,"Imitation is involved in the preparatory phase, role-taking takes place in the play stage, and the generalized other is most commonly found during the game stage of development.",No,Personality and Emotion,,A100
Behavioral Science,Role-taking occurs in which of the following stage?,Prepartory phase,Play stage,Game stage,Social stage,2,"Imitation is involved in the preparatory phase, role-taking takes place in the play stage, and the generalized other is most commonly found during the game stage of development.",No,Personality and Emotion,,A101
Behavioral Science,The generalized other is founded in which stage?,Prepartory phase,Play stage,Game stage,Social stage,3,"Imitation is involved in the preparatory phase, role-taking takes place in the play stage, and the generalized other is most commonly found during the game stage of development.",No,Personality and Emotion,,A102
Behavioral Science,Growth hormone is released in what stage of sleep?,Stage 1,Stage 2,Stage 3/4,REM,3,"Slow-wave-sleep (SWS) occurs during stages 3 and 4 of sleep. This is due to the delta waves present and is why stage 3/4 is considered ""deep sleep"". Growth hormone is also released during this phase.",No,Neuroscience,P236,A103
Behavioral Science,The limbic system includes what structure(s)?,Thalamus,Amgydala,Hippocampus,All of the above,4,The limbic system,No,Neuroscience,,A104
Behavioral Science,Sleep-walking occurs during which stage of sleep?,Stage 1,Stage 2,Stage 3/4,REM,3,"Slow-wave-sleep (SWS) occurs during stages 3 and 4 of sleep. This is due to the delta waves present and is why stage 3/4 is considered ""deep sleep"". Growth hormone is also released during this phase and sleep walking can occur during this stage if there are issues in the brain.",No,Neuroscience,,A105
Behavioral Science,Which of the following states that men advance higher than women in industries,Glass ceiling,Glass escalator,Glass stairwell,Glass elevator,2,,No,Sociology,,A106
Behavioral Science,Pavlov and Watson developed which class of thought?,Gestalt,Behaviorism,Psychoanalysis,Structuralism,2,"Pavlov and Watson developed behaviorism, which is a theory of learning which states that learning is all a product of conditioning and interactions with the environment",No,Learning and Behavior,,A107
Behavioral Science,Which of the following is NOT a major principle of natural selection?,There are genetic variations among any species of animal,An unpredictable environment will favor some animal differences over others,"In order for a specie to evolve, it must reproduce","If one doesn’t use a trait for survival, then it is lost in the next generation",4,The three principles of natural selection are: 1) there is variation in traits in the individuals of the population 2) traits are hereditary and are passed down generations 3) some traits enable organisms to survive and pass down the traits in a given environment.,No,Neuroscience,,A108
Behavioral Science,The 9-11 event now has experts saying that it makes perfect sense that the United States should increase security measures at airports. This is a reflection from an error of:,False consensus effect,Hindsight bias,Overconfidence,Ethical Conduct,2,Hindsight bias is a cognitive bias whereby previous events are regarded as being more predictable than they actually were,No,Memory and Cognition,,A109
