Category,Question,1,2,Answer,Explanation,Trial,Subcategory,Image,ID
Behavioral Science,Schachter-Singer theory is based on arousal leading to an interpretation of the fear,TRUE,FALSE,1,Common sense is based on a subjective experience that leads to a bodily response. James Lange is based on a bodily response the results in a subjective experience. Cannon Bard states that a stimulus causes both the subjective experience and the bodily experience at the same time. The Schachter-Singer theory is based on a bodily response that leads to a cognitive interpretation that then results in a subjective experience.,No,Personality and Emotion,,B24
Behavioral Science,Schachter-Singer theory is an interpretation of the fear with arousal happening right after.,TRUE,FALSE,2,Common sense is based on a subjective experience that leads to a bodily response. James Lange is based on a bodily response the results in a subjective experience. Cannon Bard states that a stimulus causes both the subjective experience and the bodily experience at the same time. The Schachter-Singer theory is based on a bodily response that leads to a cognitive interpretation that then results in a subjective experience.,No,Personality and Emotion,,B25
Behavioral Science,Primary appraisal is based on positive or negative stressors,TRUE,FALSE,1,"Primary appraisal is the first step in the stress response. Our bodies determine whether it is distress (negative stress) or eustress (positive stress. Distress would be things like a death in the family while eustress would be studying for the MCAT (hopefully, it isn't too distressing).",No,Personality and Emotion,,B26
Behavioral Science,Primary apraisal is determining whether or not we can cope with a stressor,TRUE,FALSE,2,"Primary appraisal is the first step in the stress response. Our bodies determine whether it is distress (negative stress) or eustress (positive stress. Distress would be things like a death in the family while eustress would be studying for the MCAT (hopefully, it isn't too distressing). Secondary appraisal is when we determine if we can cope with it or not.",No,Personality and Emotion,,B27
Behavioral Science,Secondary appraisal is based on whether the stressor is positive or negative,TRUE,FALSE,2,"Primary appraisal is the first step in the stress response. Our bodies determine whether it is distress (negative stress) or eustress (positive stress. Distress would be things like a death in the family while eustress would be studying for the MCAT (hopefully, it isn't too distressing). Secondary appraisal is when we determine if we can cope with it or not.",No,Personality and Emotion,,B28
Behavioral Science,Secondary appraisal is based on determining whether or not we can cope with a stressor,TRUE,FALSE,1,"Primary appraisal is the first step in the stress response. Our bodies determine whether it is distress (negative stress) or eustress (positive stress. Distress would be things like a death in the family while eustress would be studying for the MCAT (hopefully, it isn't too distressing). Secondary appraisal is when we determine if we can cope with it or not.",No,Personality and Emotion,,B29
Behavioral Science,Functionalism is a macro level theory.,TRUE,FALSE,1,Functionalism deals with seeing how the interconnecting aspects of society play roles and acting to achieve dynamic equilibrium. It is considered a macro level theory because of this.,No,Sociology,P135,B30
Behavioral Science,Functionalism is a micro level theory,TRUE,FALSE,2,Functionalism deals with seeing how the interconnecting aspects of society play roles and acting to achieve dynamic equilibrium. It is considered a macro level theory because of this.,No,Sociology,P135,B31
Behavioral Science,Conflict theory is a macro level theory,TRUE,FALSE,1,"Conflict theory deals with see how class conflicts cause issues in society and the struggle for the proletariat to overtake the bourgeiosie. As it deals with the overall society, it is considered a macro level theory.",No,Sociology,P135,B32
Behavioral Science,Conflict theory is a micro level theory,TRUE,FALSE,2,"Conflict theory deals with see how class conflicts cause issues in society and the struggle for the proletariat to overtake the bourgeiosie. As it deals with the overall society, it is considered a macro level theory.",No,Sociology,P135,B33
Behavioral Science,Symbolic interactionism is a macro level theory,TRUE,FALSE,2,"Symbolic interactionism deals with looking at the meanings of symbols and how they interact with those individuals in society. It is considered a micro level as it is based on ""individual"" interactions.",No,Sociology,P135,B34
Behavioral Science,Symbolic interactionism is a micro level theory,TRUE,FALSE,1,"Symbolic interactionism deals with looking at the meanings of symbols and how they interact with those individuals in society. It is considered a micro level as it is based on ""individual"" interactions.",No,Sociology,P135,B35
Behavioral Science,Rational choice theory is a macro level theory,TRUE,FALSE,2,"Rational choice theory is based on individual interactions that are used to maximize positive outcomes. As it is based on individual interactions, it is considered micro level.",No,Sociology,P135,B36
Behavioral Science,Rational choice theory is a micro level theory,TRUE,FALSE,1,"Rational choice theory is based on individual interactions that are used to maximize positive outcomes. As it is based on individual interactions, it is considered micro level.",No,Sociology,P135,B37
Behavioral Science,Brain areas that process linguistic information are lateralized to the left.,TRUE,FALSE,1,Brain areas the process lingual information and display it are located to the left side (Wernicke's and Broca's areas). ,No,Neuroscience,,B38
Behavioral Science,Brain areas that process linguistic information are to the right side.,TRUE,FALSE,2,Brain areas the process lingual information and display it are located to the left side (Wernicke's and Broca's areas).,No,Neuroscience,,B39
Behavioral Science,An active drug in the brain increases glucose metabolism.,TRUE,FALSE,1,"An active drug will increase metabolism, specifically of glucose, when it is in the brain. This can be seen with a PET scan.",No,Neuroscience,,B40
Behavioral Science,An active drug in the brain decreases glucose metabolism,TRUE,FALSE,2,"An active drug will increase metabolism, specifically of glucose, when it is in the brain. This can be seen with a PET scan.",No,Neuroscience,,B41
Behavioral Science,Semantic memory is affected by aging,TRUE,FALSE,2,"Semantic memory is a type of explicity memory that deals with general knowledge of facts. As it is related to crystalized intelligence, it is unaffected by aging.",No,Memory and Cognition,,B42
Behavioral Science,Semantic memory is unaffected by aging,TRUE,FALSE,1,"Semantic memory is a type of explicity memory that deals with general knowledge of facts. As it is related to crystalized intelligence, it is unaffected by aging.",No,Memory and Cognition,,B43
Behavioral Science,Crystallized intelligence is unaffected by aging.,TRUE,FALSE,1,"Crystallized intelligence is not affected by aging. This type of intelligence is based on semantic memory and the memorization of facts and other issues. This does not deterioriate with age, unlike fluid intelligence.",No,Memory and Cognition,,B44
Behavioral Science,Crystallized intelligence is affected by aging.,TRUE,FALSE,2,"Crystallized intelligence is not affected by aging. This type of intelligence is based on semantic memory and the memorization of facts and other issues. This does not deterioriate with age, unlike fluid intelligence.",No,Memory and Cognition,,B45
Behavioral Science,The motivational state of a subject is determined by depriving them of a desirable stimulus.,TRUE,FALSE,1,"In order to determine a motivational state of a particular subject, you must first deprive them of that food. With Pavlov's dogs, he deprived them of food so that he could feed them and they would respond better to the conditioning process. ",No,Learning and Behavior,,B46
Behavioral Science,An inverted pyramid shape means the overall size of the population is decreasing.,TRUE,FALSE,1,"The inverted pyramid means the population is more skewed toward the older generation. Because of this, less children are being born. An overall decrease in the population will be seen (ex: baby boomer generation in America).",No,Sociology,P138,B47
Behavioral Science,An inverted pyramind means the overall size of the population is increasing.,TRUE,FALSE,2,"The inverted pyramid means the population is more skewed toward the older generation. Because of this, less children are being born. An overall decrease in the population will be seen (ex: baby boomer generation in America).",No,Sociology,P138,B48
Behavioral Science,An fMRI measures the changes in blood flow.,TRUE,FALSE,1,"An fMRI is used to measure the changes in blood flow. Not only does this allow us to view the structure of a particular organ or tissue, but it allows us to see the functionality of it and measure this. ",No,Neuroscience,,B49
Behavioral Science,An fMRI measures the metabolism of glucose.,TRUE,FALSE,2,"An fMRI is used to measure the changes in blood flow. Not only does this allow us to view the structure of a particular organ or tissue, but it allows us to see the functionality of it and measure this. In general, a PET scan is used to measure the metabolism of glucose.",No,Neuroscience,,B50
Behavioral Science,Stage 2 of sleep has sleep spindles.,TRUE,FALSE,1,Stage 2 of sleep is known for having both sleep spindles and K complexes seen on an EEG.,No,Neuroscience,,B51
Behavioral Science,Stage 2 of sleep has K complexes,TRUE,FALSE,1,Stage 2 of sleep is known for having both sleep spindles and K complexes seen on an EEG.,No,Neuroscience,,B52
Behavioral Science,Negative priming requires implicit memory,TRUE,FALSE,1,"Negative priming is something that occurs with implicit memory. It is generally used in experiments to ""slow down the response"" to what the observers are measuring. ",No,Memory and Cognition,,B53
Behavioral Science,Negative priming requires explicit memory,TRUE,FALSE,2,"Negative priming is something that occurs with implicit memory. It is generally used in experiments to ""slow down the response"" to what the observers are measuring. ",No,Memory and Cognition,,B54
Behavioral Science,"In cognitive dissonance, people tend to change their attitudes rather than their behavior.",TRUE,FALSE,1,"In cognitive dissonance, people are more likely to change their attitudes before changing their behaviors. It is easier to put on a ""front"" and to say that you believe in something rather than demonstrating that you actually believe in it.",No,Memory and Cognition,,B55
Behavioral Science,"In cognitive dissonance, people tend to change their behavior rather than their attitude.",TRUE,FALSE,2,"In cognitive dissonance, people are more likely to change their attitudes before changing their behaviors. It is easier to put on a ""front"" and to say that you believe in something rather than demonstrating that you actually believe in it.",No,Memory and Cognition,,B56
Behavioral Science,Concrete operations occurs from ages 7-11,TRUE,FALSE,1,"The sensorimotor stage occurs from birth-2 years, the preoperational stage occurs from 2-7, the concrete operational stage occurs from 7-11, and the formal operational stage occurs 12 and beyond.",No,Personality and Emotion,,B57
Behavioral Science,Concrete operations occurs from ages 4-6,TRUE,FALSE,2,"The sensorimotor stage occurs from birth-2 years, the preoperational stage occurs from 2-7, the concrete operational stage occurs from 7-11, and the formal operational stage occurs 12 and beyond.",No,Personality and Emotion,,B58
Behavioral Science,"According to the actor-observer bias, the actor believes that it is a situational factor",TRUE,FALSE,1,"The actor-observer bias states that the observer is likely to believe it is a situational factor rather than a dispositional. For example, if someone observes that you are late for work, they might assume that's how you are. However, since you are the actor, you know that it was because of a traffic jam.",No,Personality and Emotion,,B59
Behavioral Science,"According to the actor-observer bias, the actor believes that it is a dispositional factor",TRUE,FALSE,2,"The actor-observer bias states that the observer is likely to believe it is a situational factor rather than a dispositional. For example, if someone observes that you are late for work, they might assume that's how you are. However, since you are the actor, you know that it was because of a traffic jam.",No,Personality and Emotion,,B60
Behavioral Science,"According to the actor-observer bias, the observor sees that actor as it relates to his/her disposition",TRUE,FALSE,1,"The actor-observer bias states that the observer is likely to believe it is a situational factor rather than a dispositional. For example, if someone observes that you are late for work, they might assume that's how you are. However, since you are the actor, you know that it was because of a traffic jam.",No,Personality and Emotion,,B61
Behavioral Science,You can measure sympathetic arousal by looking at the electrical conducitivity,TRUE,FALSE,1,"Sympathetic arousal can be measured by voltage fluctations in the body, such as using a galvanic skin response.",No,Personality and Emotion,,B62
Behavioral Science,Procedural memory is a type of implicit memory,TRUE,FALSE,1,Implict memory is considered unconscious. Procedural memory falls under this category (think muscle memory like riding a bike).,No,Memory and Cognition,,B63
Behavioral Science,Procedural memory is a type of explicit memory,TRUE,FALSE,2,"Implict memory is considered unconscious. Procedural memory falls under this category (think muscle memory like riding a bike). Explicit memory is based on conscious things like fats, events, and general semantic knowledge of the world.",No,Memory and Cognition,,B64
Behavioral Science,Broca's area is responsible for speed production,TRUE,FALSE,1,Broca's area is used for speech production in the brain. Wernicke's area is used for speech comprehension,No,Neuroscience,,B65
Behavioral Science,Broca's area is responsible for speech comprehension,TRUE,FALSE,2,Broca's area is used for speech production in the brain. Wernicke's area is used for speech comprehension,No,Neuroscience,,B66
Behavioral Science,EEG measures blood flow,TRUE,FALSE,2,"An EEG does not measure blood flow. It records the electrical activity of the brain and is generally used in sleep studies to diagnose things such as sleep apnea, seizures, and other sleep disorders.",No,Neuroscience,,B67
Behavioral Science,The basal ganglia is responsible for smooth movement and posture,TRUE,FALSE,1,"The basal ganglia is reponsible for the smooth movement and posture of the body. The basal ganglia includes the substantia nigra, which is a big area of dopamine production, which is used to help the smooth movement. If this area is destroyed, individuals will have symptoms like Parkinson's disease (tremors).",No,Neuroscience,,B68
Behavioral Science,The septal nuclei is responsible for pleasure,TRUE,FALSE,1,"The septal nuclei is involved in the reward pathway. It helps with responses to pleasure, especially with the neurotransmitter dopamine.",No,Neuroscience,P39,B69
Behavioral Science,The left side of the brain is responsible for analytics and language,TRUE,FALSE,1,The left side of the brain is responsible for language (Wernicke/Broca) as well as critical thinking. The right side is used for intuition or creativity.,No,Neuroscience,,B70
Behavioral Science,The left side of the brain is responsible for intuition and creativity,TRUE,FALSE,2,The left side of the brain is responsible for language (Wernicke/Broca) as well as critical thinking. The right side is used for intuition or creativity.,No,Neuroscience,,B71
Behavioral Science,The right side of the brain is responsible intuition and creativity,TRUE,FALSE,1,The left side of the brain is responsible for language (Wernicke/Broca) as well as critical thinking. The right side is used for intuition or creativity.,No,Neuroscience,,B72
Behavioral Science,The right side of the brain is responsible for language and math,TRUE,FALSE,2,The left side of the brain is responsible for language (Wernicke/Broca) as well as critical thinking. The right side is used for intuition or creativity.,No,Neuroscience,,B73
Behavioral Science,The magnocelluar pathway is responsible for motion,TRUE,FALSE,1,"The magnocellular pathway in the eyes is responsible for processing the motion component of vision, while the parvocellular pathway is responsible for the shape part of vision.",No,Sensation/Perception,,B74
Behavioral Science,The magnocellular pathway is responsible for shape,TRUE,FALSE,2,"The magnocellular pathway in the eyes is responsible for processing the motion component of vision, while the parvocellular pathway is responsible for the shape part of vision.",No,Sensation/Perception,,B75
Behavioral Science,The parvocellular pathway is responsible for shape,TRUE,FALSE,1,"The magnocellular pathway in the eyes is responsible for processing the motion component of vision, while the parvocellular pathway is responsible for the shape part of vision.",No,Sensation/Perception,,B76
Behavioral Science,The parvocellular pathway is responsible for motion,TRUE,FALSE,2,"The magnocellular pathway in the eyes is responsible for processing the motion component of vision, while the parvocellular pathway is responsible for the shape part of vision.",No,Sensation/Perception,,B77
Behavioral Science,Top-down processing is equivalent to background processing,TRUE,FALSE,1,Top-down processing is used by taking theories or previous ideas and then applying them to issues in the world. It is also known as background processing or deduction.,No,Sensation/Perception,,B78
Behavioral Science,Recognition is stronger than recall,TRUE,FALSE,1,"Recognition is a type of information retrieval that requires remembering or ""recognizing"" a particular answer. For example, this would be seeing the answer in a multiple choice test. Recall is just purely retrieving that answer without a primer (other than the question itself). Recognition has higher rates of accuracy.",No,Memory and Cognition,,B79
Behavioral Science,Recall is strong than recognition,TRUE,FALSE,2,"Recognition is a type of information retrieval that requires remembering or ""recognizing"" a particular answer. For example, this would be seeing the answer in a multiple choice test. Recall is just purely retrieving that answer without a primer (other than the question itself). Recognition has higher rates of accuracy.",No,Memory and Cognition,,B80
Behavioral Science,Deductive reasoning is getting conclusions from rule,TRUE,FALSE,1,"Deductive reasoning is also known as top-down processing, which utilizes previous knowledge to come to conclusions. Inductive reasoning uses the information in the world around us to draw conclusions.",No,Memory and Cognition,,B81
Behavioral Science,Inductive reasoning is drawing conclusions from evidence,TRUE,FALSE,1,"Deductive reasoning is also known as top-down processing, which utilizes previous knowledge to come to conclusions. Inductive reasoning uses the information in the world around us to draw conclusions.",No,Memory and Cognition,,B82
Behavioral Science,Deductive reasoning is getting conclusions from evidence,TRUE,FALSE,2,"Deductive reasoning is also known as top-down processing, which utilizes previous knowledge to come to conclusions. Inductive reasoning uses the information in the world around us to draw conclusions.",No,Memory and Cognition,,B83
Behavioral Science,Inductive reasoning is drawing conclusions from rules,TRUE,FALSE,2,"Deductive reasoning is also known as top-down processing, which utilizes previous knowledge to come to conclusions. Inductive reasoning uses the information in the world around us to draw conclusions.",No,Memory and Cognition,,B84
Behavioral Science,Stage 1 has theta waves,TRUE,FALSE,1,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B85
Behavioral Science,Stage 1 of sleep has delta waves,TRUE,FALSE,2,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B86
Behavioral Science,Stage 2 of sleep has theta waves,TRUE,FALSE,1,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B87
Behavioral Science,Stage 2 of sleep has beta waves,TRUE,FALSE,2,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B88
Behavioral Science,Stage 3 of sleep has delta waves,TRUE,FALSE,1,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B89
Behavioral Science,Stage 3 of sleep has theta waves,TRUE,FALSE,2,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B90
Behavioral Science,Stage 4 of sleep has delta waves,TRUE,FALSE,1,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B91
Behavioral Science,Stage 4 of sleep has theta waves,TRUE,FALSE,2,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B92
Behavioral Science,REM stage of sleep has beta waves,TRUE,FALSE,1,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B93
Behavioral Science,REM stage of sleep has delta waves,TRUE,FALSE,2,"Stage 1 of sleep has theta waves, stage 2 has theta waves, stage 3/4 has delta waves, and REM sleep displays beta waves.",No,Neuroscience,,B94
Behavioral Science,Slow-wave sleep occurs during stage 3/4 of sleep,TRUE,FALSE,1,"Slow-wave-sleep (SWS) occurs during stages 3 and 4 of sleep. This is due to the delta waves present and is why stage 3/4 is considered ""deep sleep"".",No,Neuroscience,,B95
Behavioral Science,The basilar membrane is responsible for pitch perception,TRUE,FALSE,1,The basilar membrane is responsible for pitch perception as well as basilar tuning.,No,Sensation/Perception,,B96
Behavioral Science,Self-esteem is the difference between the actual self and the ideal self,TRUE,FALSE,1,"The actual self is who we are and the ideal self is what we strive to be. The bigger the disconnect between the two, the more likely we are to have issues with our self-esteem and self-image.",No,Personality and Emotion,,B97
Behavioral Science,The fovea centralis is used when you stare directly at something,TRUE,FALSE,1,The fovea centralis is used to help focus the line of sight onto a particular object. It has a large percentage of cones and is located in the macula of the retina.,No,Sensation/Perception,,B98
Behavioral Science,The organ of Corti and the semicircular canals are used to detect motion,TRUE,FALSE,1,The organ of Corti and semicircular canals are part of the vestibular and auditory systems. Both are used to help with balance. ,No,Sensation/Perception,,B99
Behavioral Science,Cognitive is based on beliefs,TRUE,FALSE,1,"Affect is based on the beliefs we hold toward something, behavior is how we act on our beliefs or emotions, and cognition is the beliefs we hold about something.",No,Memory and Cognition,,B100
Behavioral Science,Cognitive is based on emotional experience,TRUE,FALSE,2,"Affect is based on the beliefs we hold toward something, behavior is how we act on our beliefs or emotions, and cognition is the beliefs we hold about something.",No,Memory and Cognition,,B101
Behavioral Science,Affect is based on beliefs,TRUE,FALSE,1,"Affect is based on the beliefs we hold toward something, behavior is how we act on our beliefs or emotions, and cognition is the beliefs we hold about something.",No,Memory and Cognition,,B102
Behavioral Science,Affect is based on emotional experience,TRUE,FALSE,2,"Affect is based on the beliefs we hold toward something, behavior is how we act on our beliefs or emotions, and cognition is the beliefs we hold about something.",No,Memory and Cognition,,B103
Behavioral Science,The foot-in-the-door technique is starting off with a small request and going to a larger one.,TRUE,FALSE,1,Foot-in-the-door would be starting out with something small (asking someone to decorate a cake) and then asking that same person to help plan the rest of your wedding.,No,Memory and Cognition,,B104
Behavioral Science,The foot-in-the-door technique is starting off with a big request and going to a smaller one.,TRUE,FALSE,2,Foot-in-the-door would be starting out with something small (asking someone to decorate a cake) and then asking that same person to help plan the rest of your wedding.,No,Memory and Cognition,,B105
Behavioral Science,The Kinsey scale is used to determine sexuality,TRUE,FALSE,1,"The Kinsey scale rates the test-taker on a scale from 0-6, with 0 relating more toward heterosexuality and 6 relating more toward homosexuality.",No,Memory and Cognition,,B106
Behavioral Science,The central route for processing lasts longer,TRUE,FALSE,1,The central route for processing is using the facts and arguments presented with an idea. The peripheral route is analyzing things like how the presenter was dressed or aesthetic of the rest of the presentation. The central route of processing is more likely to change the attitudes/beliefs of the listener.,Yes,Memory and Cognition,,B107
Behavioral Science,The central route for processing is temporary,TRUE,FALSE,2,The central route for processing is using the facts and arguments presented with an idea. The peripheral route is analyzing things like how the presenter was dressed or aesthetic of the rest of the presentation. The central route of processing is more likely to change the attitudes/beliefs of the listener.,No,Memory and Cognition,,B108
Behavioral Science,The peripheal route for processing is temporary,TRUE,FALSE,1,The central route for processing is using the facts and arguments presented with an idea. The peripheral route is analyzing things like how the presenter was dressed or aesthetic of the rest of the presentation. The central route of processing is more likely to change the attitudes/beliefs of the listener.,No,Memory and Cognition,,B109
Behavioral Science,The peripheral route for processing lasts a long time,TRUE,FALSE,2,The central route for processing is using the facts and arguments presented with an idea. The peripheral route is analyzing things like how the presenter was dressed or aesthetic of the rest of the presentation. The central route of processing is more likely to change the attitudes/beliefs of the listener.,No,Memory and Cognition,,B110
Behavioral Science,Preventitive checks decrease the brith rate,TRUE,FALSE,1,"Preventitive checks are things used to control the population as well as the birth rate. For example, China implements a limit of the number of children born per family. ",No,Sociology,P138,B111
Behavioral Science,Preventitive checks increase the birth rate,TRUE,FALSE,2,"Preventitive checks are things used to control the population as well as the birth rate. For example, China implements a limit of the number of children born per family. ",No,Sociology,P138,B112
Behavioral Science,Positive checks increase the death rate,TRUE,FALSE,1,"Positive checks are things in sociology that increase the death rate of a society to control the population. These are things like natural disasters, famine, and poor-living conditions.",No,Sociology,P138,B113
Behavioral Science,Positive checks decreases the death rate,TRUE,FALSE,2,"Positive checks are things in sociology that increase the death rate of a society to control the population. These are things like natural disasters, famine, and poor-living conditions.",No,Sociology,P138,B114
Behavioral Science,Malthusian catastrophe is large scale positive checks,TRUE,FALSE,1,"Positive checks are things in sociology that increase the death rate of a society to control the population. These are things like natural disasters, famine, and poor-living conditions. Malthusian catastrophes are known as positive checks because they cause huge amounts of death. Preventitive checks would be things like increasing birth control awareness to prevent new individuals from being born to control the population.",No,Sociology,P138,B115
Behavioral Science,Malthusian catastrophe is large scale preventitive checks,TRUE,FALSE,2,"Positive checks are things in sociology that increase the death rate of a society to control the population. These are things like natural disasters, famine, and poor-living conditions. Malthusian catastrophes are known as positive checks because they cause huge amounts of death. Preventitive checks would be things like increasing birth control awareness to prevent new individuals from being born to control the population.",No,Sociology,P138,B116
Behavioral Science,The left hemisphere is responsible for language in most,TRUE,FALSE,1,"The left hemisphere contains both Wernicke's and Broca's area. In most, it is utilized to process and comprehend language. The right hemisphere is used to process emotions, specifically in the right prefrontal cortex.",No,Neuroscience,,B117
Behavioral Science,The left hemisphere is responsible for emotion in most.,TRUE,FALSE,2,"The left hemisphere contains both Wernicke's and Broca's area. In most, it is utilized to process and comprehend language. The right hemisphere is used to process emotions, specifically in the right prefrontal cortex.",No,Neuroscience,,B118
